fips,city,region,uhi_index,median_income,pct_poc,poverty_rate,tree_canopy_pct,population
00000055617,New York,Northeast,9.73,80751,18.2,55.0,22.1,3194
00000055618,New York,Northeast,10.11,109073,52.0,43.9,17.5,835
00000055619,New York,Northeast,10.69,70773,57.7,55.0,14.4,1905
00000055620,New York,Northeast,9.75,44776,25.0,45.3,30.0,2292
00000055621,New York,Northeast,8.33,91435,17.3,48.0,18.0,1719
00000055622,New York,Northeast,9.61,66284,46.2,55.0,20.1,2021
00000055623,New York,Northeast,11.13,86811,72.9,47.9,26.2,2035
00000055624,New York,Northeast,9.8,91654,47.1,48.3,7.9,1110
00000055625,New York,Northeast,12.23,41024,72.9,52.4,33.3,4443
00000055626,New York,Northeast,10.33,99550,22.1,54.1,9.3,3822
00000055627,New York,Northeast,10.4,87628,46.8,45.5,27.9,3692
00000055628,New York,Northeast,10.73,49902,46.3,55.0,28.4,3321
00000055629,New York,Northeast,10.95,72611,56.7,55.0,32.4,702
00000055630,New York,Northeast,10.59,71430,61.5,54.0,28.1,3151
00000055631,New York,Northeast,9.51,65598,17.4,53.2,45.4,2679
00000055632,New York,Northeast,10.08,86797,28.6,55.0,30.5,719
00000055633,New York,Northeast,8.6,100933,21.8,48.6,38.4,1589
00000055634,New York,Northeast,8.92,65182,25.8,55.0,24.0,2134
00000055635,New York,Northeast,9.88,98272,78.5,45.3,29.9,4907
00000055636,New York,Northeast,9.25,89705,13.8,54.7,41.9,2792
00000055637,New York,Northeast,11.86,70807,58.5,55.0,25.5,1076
00000055638,New York,Northeast,9.47,69404,13.8,53.1,30.8,5000
00000055639,New York,Northeast,9.88,36185,4.5,40.6,36.8,1856
00000055640,New York,Northeast,10.58,27480,14.9,54.2,22.5,1550
00000055641,New York,Northeast,11.98,69125,69.1,55.0,10.0,1485
00000055642,New York,Northeast,12.15,43601,56.9,55.0,29.2,682
00000055643,New York,Northeast,11.55,64009,48.9,55.0,35.6,1692
00000055644,New York,Northeast,9.14,51633,23.5,49.5,18.8,2436
00000055645,New York,Northeast,11.0,20287,15.2,55.0,33.4,1434
00000055646,New York,Northeast,11.55,73932,72.7,52.1,33.1,2326
00000055647,New York,Northeast,10.38,54636,13.7,55.0,10.4,1076
00000055648,New York,Northeast,10.8,67004,34.2,55.0,20.8,1661
00000055649,New York,Northeast,10.07,42671,9.2,50.1,25.7,2186
00000055650,New York,Northeast,10.43,56629,53.5,50.5,27.1,2025
00000055651,New York,Northeast,9.16,104009,64.7,49.8,23.6,690
00000055652,New York,Northeast,9.84,68213,30.0,53.9,22.6,1389
00000055653,New York,Northeast,11.39,78739,26.5,50.8,41.1,4946
00000055654,New York,Northeast,10.63,33228,36.7,50.4,27.5,1345
00000055655,New York,Northeast,8.35,124725,82.4,36.1,24.6,1825
00000055656,New York,Northeast,11.15,111085,86.5,52.3,27.6,1716
00000055657,New York,Northeast,10.21,99085,45.7,47.8,33.0,4632
00000055658,New York,Northeast,10.47,85719,20.8,54.9,28.9,3921
00000055659,New York,Northeast,10.43,65378,22.1,55.0,26.9,2935
00000055660,New York,Northeast,11.46,76051,74.4,49.3,22.5,1008
00000055661,New York,Northeast,11.16,91200,58.1,45.6,22.7,2242
00000055662,New York,Northeast,10.78,49285,62.8,49.9,23.5,2542
00000055663,New York,Northeast,10.03,53887,30.8,55.0,31.6,1188
00000055664,New York,Northeast,10.45,23271,26.9,55.0,20.6,1072
00000055665,New York,Northeast,10.61,45704,31.3,55.0,31.5,5029
00000055666,New York,Northeast,10.04,106532,31.9,47.2,40.2,1509
00000055667,New York,Northeast,11.45,56643,55.7,54.5,30.3,4764
00000055668,New York,Northeast,10.58,57053,27.2,52.0,25.5,3288
00000055669,New York,Northeast,9.12,72944,30.6,55.0,19.2,2309
00000055670,New York,Northeast,11.47,24694,68.5,50.4,40.3,2372
00000055671,New York,Northeast,8.54,88634,31.9,49.4,20.7,780
00000055672,New York,Northeast,10.2,96660,22.1,54.5,35.5,2046
00000055673,New York,Northeast,10.18,74432,5.9,48.3,33.8,4231
00000055674,New York,Northeast,10.56,106283,52.6,55.0,26.5,2721
00000055675,New York,Northeast,10.88,31829,48.4,55.0,26.1,1983
00000055676,New York,Northeast,10.69,111092,62.7,46.2,13.6,5050
00000055677,New York,Northeast,10.95,46731,53.4,51.0,30.8,1618
00000055678,New York,Northeast,10.82,33002,55.4,53.4,33.2,1246
00000055679,New York,Northeast,9.53,59065,19.9,52.9,20.5,1982
00000055680,New York,Northeast,8.87,111800,45.8,41.4,28.5,2863
00000055681,New York,Northeast,9.92,64513,11.4,55.0,29.2,645
00000055682,New York,Northeast,10.63,41685,30.9,52.8,33.1,2145
00000055683,New York,Northeast,10.53,32626,45.4,55.0,28.5,2940
00000055684,New York,Northeast,11.15,62372,30.9,55.0,14.9,1537
00000055685,New York,Northeast,11.04,15125,24.3,53.5,23.8,3512
00000055686,New York,Northeast,10.12,32495,11.7,55.0,30.6,2656
00000055687,New York,Northeast,9.47,103576,9.0,50.1,36.0,6534
00000055688,New York,Northeast,8.72,98081,19.8,55.0,25.0,1152
00000055689,New York,Northeast,9.44,61789,30.9,54.6,46.8,2976
00000055690,New York,Northeast,11.51,53358,45.0,50.9,12.5,982
00000055691,New York,Northeast,11.86,66462,58.7,48.7,22.9,685
00000055692,New York,Northeast,8.29,123699,40.0,37.9,29.6,533
00000055693,New York,Northeast,10.57,75124,52.5,52.8,26.8,2497
00000055694,New York,Northeast,9.13,87743,26.8,55.0,19.7,2019
00000055695,New York,Northeast,10.31,59938,24.1,55.0,32.2,1356
00000055696,New York,Northeast,10.38,66522,54.3,49.8,31.5,623
00000055697,New York,Northeast,9.35,81179,12.5,51.4,29.8,1194
00000055698,New York,Northeast,11.45,68152,66.7,55.0,30.4,1812
00000055699,New York,Northeast,10.91,17565,40.8,55.0,24.8,2909
00000055700,New York,Northeast,9.33,97013,29.8,51.8,16.5,1790
00000055701,New York,Northeast,9.68,49621,40.8,51.8,23.4,2103
00000055702,New York,Northeast,8.37,117782,29.8,40.8,31.4,1442
00000055703,New York,Northeast,9.6,82171,22.3,51.9,30.5,5164
00000055704,New York,Northeast,10.68,66774,39.2,55.0,28.7,981
00000055705,New York,Northeast,10.1,75983,30.2,51.5,33.2,1188
00000055706,New York,Northeast,10.84,62287,30.8,52.4,23.6,1345
00000055707,New York,Northeast,11.02,52839,83.8,55.0,28.3,2503
00000055708,New York,Northeast,9.49,70189,43.0,51.2,33.9,969
00000055709,New York,Northeast,9.58,87124,18.7,47.8,28.5,1961
00000055710,New York,Northeast,9.61,53386,40.0,55.0,19.2,1996
00000055711,New York,Northeast,10.45,49444,20.7,53.2,20.8,1191
00000055712,New York,Northeast,9.99,56112,37.0,55.0,35.5,2203
00000055713,New York,Northeast,11.99,88800,76.8,55.0,38.4,987
00000055714,New York,Northeast,8.79,101313,2.5,49.2,39.2,924
00000055715,New York,Northeast,10.44,74050,46.7,54.7,30.4,1919
00000055716,New York,Northeast,9.88,79532,0.9,51.3,19.3,667
00000055717,New York,Northeast,11.02,49257,69.7,55.0,28.0,499
00000055718,New York,Northeast,9.3,86918,26.5,55.0,41.9,2489
00000055719,New York,Northeast,9.17,78793,33.6,50.1,34.5,3392
00000055720,New York,Northeast,10.79,47246,54.2,55.0,26.6,1366
00000055721,New York,Northeast,10.72,20308,7.6,55.0,33.3,1210
00000055722,New York,Northeast,11.05,34485,21.7,55.0,17.9,3305
00000046469,Los Angeles,West,10.5,36361,69.3,53.1,32.2,729
00000046470,Los Angeles,West,8.6,30915,25.7,45.7,49.4,2492
00000046471,Los Angeles,West,6.89,82690,15.3,55.0,31.0,1263
00000046472,Los Angeles,West,9.31,65225,39.0,55.0,42.1,930
00000046473,Los Angeles,West,8.12,91621,28.8,55.0,14.6,587
00000046474,Los Angeles,West,11.04,15000,32.9,50.1,15.8,1588
00000046475,Los Angeles,West,9.58,29983,16.7,55.0,35.4,846
00000046476,Los Angeles,West,9.82,65358,45.8,55.0,14.1,1870
00000046477,Los Angeles,West,8.24,75441,12.9,50.9,27.8,5227
00000046478,Los Angeles,West,8.64,86174,26.0,54.2,38.3,2037
00000046479,Los Angeles,West,7.46,69370,20.7,47.5,34.0,5993
00000046480,Los Angeles,West,8.11,69116,20.2,53.3,29.5,1002
00000046481,Los Angeles,West,10.72,55264,59.0,55.0,23.7,838
00000046482,Los Angeles,West,7.75,104772,23.2,43.9,31.3,976
00000046483,Los Angeles,West,9.18,37424,18.9,55.0,33.2,1738
00000046484,Los Angeles,West,8.61,73975,18.3,47.8,23.7,9262
00000046485,Los Angeles,West,9.41,40304,11.3,53.7,31.4,666
00000046486,Los Angeles,West,9.61,78369,17.8,51.7,36.9,2622
00000046487,Los Angeles,West,9.96,39074,39.4,54.1,26.2,1187
00000046488,Los Angeles,West,7.65,83595,10.4,55.0,30.3,1580
00000046489,Los Angeles,West,9.23,67802,48.0,50.1,32.4,849
00000046490,Los Angeles,West,8.08,108615,30.5,43.4,33.9,3064
00000046491,Los Angeles,West,9.82,57974,27.2,55.0,35.1,1761
00000046492,Los Angeles,West,8.75,75624,61.4,55.0,20.8,3471
00000046493,Los Angeles,West,9.63,45508,27.4,55.0,24.0,2008
00000046494,Los Angeles,West,8.16,57802,15.8,50.2,25.5,567
00000046495,Los Angeles,West,8.96,67643,38.8,54.6,21.5,3490
00000046496,Los Angeles,West,10.45,26819,31.0,55.0,13.2,540
00000046497,Los Angeles,West,9.98,29559,33.1,47.0,1.9,588
00000046498,Los Angeles,West,8.55,79996,41.4,51.5,38.6,1042
00000046499,Los Angeles,West,8.39,61347,18.4,45.9,16.8,1051
00000046500,Los Angeles,West,8.6,50176,9.0,55.0,41.6,4178
00000046501,Los Angeles,West,11.72,46575,48.8,55.0,32.5,1631
00000046502,Los Angeles,West,9.04,47537,6.7,54.1,25.4,3821
00000046503,Los Angeles,West,8.51,67813,37.0,50.0,34.0,1285
00000046504,Los Angeles,West,9.77,76125,41.7,50.1,31.5,2187
00000046505,Los Angeles,West,10.42,15000,11.0,53.5,18.8,2402
00000046506,Los Angeles,West,10.07,100320,65.4,48.3,27.7,2745
00000046507,Los Angeles,West,9.97,98542,39.5,55.0,20.1,1367
00000046508,Los Angeles,West,10.05,15000,15.7,51.7,33.1,1441
00000046509,Los Angeles,West,8.35,92148,28.2,55.0,23.5,1511
00000046510,Los Angeles,West,8.85,91380,48.5,52.8,28.1,670
00000046511,Los Angeles,West,8.3,65011,10.4,51.3,28.2,1719
00000046512,Los Angeles,West,9.33,32570,24.4,53.3,29.4,1436
00000046513,Los Angeles,West,9.88,90380,49.6,55.0,41.3,2560
00000046514,Los Angeles,West,10.17,58969,65.9,55.0,25.9,1909
00000046515,Los Angeles,West,9.11,78721,18.6,53.7,38.4,4031
00000046516,Los Angeles,West,8.12,120480,59.5,33.7,33.3,1885
00000046517,Los Angeles,West,7.95,71295,13.3,55.0,40.9,1290
00000046518,Los Angeles,West,8.29,42077,27.4,50.5,26.6,1871
00000046519,Los Angeles,West,9.14,56606,52.5,55.0,34.2,2791
00000046520,Los Angeles,West,9.52,45263,39.4,54.9,27.8,623
00000046521,Los Angeles,West,10.02,75837,71.6,54.2,4.0,1177
00000046522,Los Angeles,West,9.07,44848,30.9,52.6,19.9,1192
00000046523,Los Angeles,West,10.11,53178,42.1,55.0,32.5,2313
00000046524,Los Angeles,West,9.54,32889,68.4,37.1,32.4,2480
00000046525,Los Angeles,West,8.9,61697,11.2,55.0,18.4,1921
00000046526,Los Angeles,West,8.47,69418,12.8,50.4,30.9,408
00000046527,Los Angeles,West,10.84,15000,16.0,55.0,31.3,671
00000046528,Los Angeles,West,8.87,71489,47.6,55.0,28.5,1566
00000046529,Los Angeles,West,10.44,63857,27.7,55.0,33.4,1338
00000046530,Los Angeles,West,9.83,45875,56.1,55.0,32.8,1813
00000046531,Los Angeles,West,7.04,115715,52.3,38.0,30.0,1364
00000046532,Los Angeles,West,8.04,88961,26.0,47.0,25.4,4532
00000046533,Los Angeles,West,11.36,37589,22.1,53.3,35.2,456
00000046534,Los Angeles,West,8.84,85955,32.5,45.2,32.6,2168
00000046535,Los Angeles,West,9.3,96112,59.0,48.8,17.4,2971
00000046536,Los Angeles,West,9.81,68300,42.7,53.5,29.8,2754
00000046537,Los Angeles,West,7.81,74036,9.1,51.6,20.5,2899
00000046538,Los Angeles,West,9.02,73458,23.6,55.0,21.0,3161
00000046539,Los Angeles,West,11.3,15000,78.5,53.8,21.7,1258
00000046540,Los Angeles,West,10.36,60328,34.6,53.4,28.0,933
00000046541,Los Angeles,West,9.83,59027,79.4,42.9,31.0,533
00000046542,Los Angeles,West,7.55,100753,27.6,43.1,26.6,1454
00000046543,Los Angeles,West,7.96,73343,16.9,55.0,26.6,1133
00000046544,Los Angeles,West,9.92,57559,51.6,55.0,24.0,3629
00000046545,Los Angeles,West,8.8,62746,25.4,45.8,37.3,1521
00000046546,Los Angeles,West,7.58,90584,25.2,50.6,7.0,974
00000046547,Los Angeles,West,10.11,60385,53.9,55.0,25.4,886
00000046548,Los Angeles,West,10.05,47545,53.8,51.4,40.2,5962
00000046549,Los Angeles,West,10.38,58107,50.6,54.4,31.8,1784
00000046550,Los Angeles,West,10.2,88517,61.8,55.0,37.9,1131
00000046551,Los Angeles,West,8.88,77404,30.4,53.2,12.5,1947
00000046552,Los Angeles,West,8.79,66106,46.2,52.5,19.0,5642
00000046553,Los Angeles,West,9.6,69788,73.4,54.2,32.4,1431
00000046554,Los Angeles,West,11.39,51006,66.3,55.0,39.2,2730
00000046555,Los Angeles,West,9.79,60151,47.6,55.0,19.0,3684
00000046556,Los Angeles,West,10.81,48417,41.4,55.0,24.2,581
00000046557,Los Angeles,West,10.44,57630,69.1,52.4,30.8,1232
00000046558,Los Angeles,West,10.18,98654,83.3,53.4,16.2,3417
00000046559,Los Angeles,West,10.25,38053,29.8,55.0,31.9,1188
00000046560,Los Angeles,West,9.19,47782,57.9,49.6,7.2,2318
00000046561,Los Angeles,West,10.49,33642,51.0,55.0,31.5,1147
00000046562,Los Angeles,West,8.98,28227,25.0,54.2,20.8,1383
00000046563,Los Angeles,West,8.4,60330,3.1,55.0,25.6,1286
00000046564,Los Angeles,West,9.87,49559,40.0,50.6,33.2,2649
00000046565,Los Angeles,West,6.82,109042,19.5,43.5,34.0,2040
00000046566,Los Angeles,West,9.08,57928,18.4,49.8,28.6,1918
00000046567,Los Angeles,West,7.83,97234,56.8,46.0,37.4,8139
00000046568,Los Angeles,West,10.58,89200,79.0,55.0,13.9,5134
00000046569,Los Angeles,West,8.92,59776,36.2,53.2,30.4,550
00000046570,Los Angeles,West,7.06,117753,53.9,34.6,24.0,1385
00000046571,Los Angeles,West,8.89,71713,59.4,55.0,36.2,7753
00000046572,Los Angeles,West,8.3,102825,64.4,43.0,34.8,1280
00000046573,Los Angeles,West,8.34,99914,71.2,55.0,35.0,6327
00000046574,Los Angeles,West,8.03,75366,21.4,47.6,42.7,1399
00000046575,Los Angeles,West,10.44,83778,70.1,55.0,36.6,1571
00000046576,Los Angeles,West,9.24,80601,52.9,53.7,27.3,3035
00000046577,Los Angeles,West,8.46,36393,14.0,51.9,29.1,1712
00000046578,Los Angeles,West,9.52,66432,40.3,55.0,33.1,2432
